municipality,type,year,category,source,value
Войковский,доходы,2013,Безвозмездные поступления,http://www.gks.ru,51.854
Войковский,доходы,2013,Доходы: итого,http://www.gks.ru,45.153
Войковский,доходы,2013,Налоговые доходы,http://www.gks.ru,19.226
Войковский,доходы,2013,Неналоговые доходы,http://www.gks.ru,20.346
Войковский,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,24.807
Войковский,доходы,2013,Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),http://www.gks.ru,1.12
Войковский,доходы,2014,Безвозмездные поступления,http://www.gks.ru,15.42
Войковский,доходы,2014,Доходы: итого,http://www.gks.ru,26.157
Войковский,доходы,2014,Иные  межбюджетные трансферты,http://www.gks.ru,1.92
Войковский,доходы,2014,Налоговые доходы,http://www.gks.ru,18.447
Войковский,доходы,2014,Неналоговые доходы,http://www.gks.ru,20.367
Войковский,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,5.79
Войковский,доходы,2015,Безвозмездные поступления,http://www.gks.ru,3.84
Войковский,доходы,2015,Доходы: итого,http://www.gks.ru,20.106
Войковский,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,1.92
Войковский,доходы,2015,Налоговые доходы,http://www.gks.ru,18.186
Войковский,доходы,2015,Неналоговые доходы,http://www.gks.ru,20.106
Войковский,доходы,2016,Безвозмездные поступления,http://www.gks.ru,3.84
Войковский,доходы,2016,Доходы: итого,http://www.gks.ru,20.68
Войковский,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,1.92
Войковский,доходы,2016,Налоговые доходы,http://www.gks.ru,18.76
Войковский,доходы,2016,Неналоговые доходы,http://www.gks.ru,20.68
Войковский,доходы,2017,Безвозмездные поступления,http://www.gks.ru,3.96
Войковский,доходы,2017,Доходы: итого,http://www.gks.ru,20.174
Войковский,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,1.98
Войковский,доходы,2017,Налоговые доходы,http://www.gks.ru,18.194
Войковский,доходы,2017,Неналоговые доходы,http://www.gks.ru,20.174
Восточное,доходы,2006,Безвозмездные поступления,http://www.gks.ru,15.104
Восточное,доходы,2006,Дотации от других бюджетов бюджетной системы Россйской Федерации,http://www.gks.ru,6.735
Восточное,доходы,2006,Доходы: итого,http://www.gks.ru,7.967
Восточное,доходы,2006,Налоговые доходы,http://www.gks.ru,0.415
Восточное,доходы,2006,Неналоговые доходы,http://www.gks.ru,7.967
Восточное,доходы,2006,Субвенции от других бюджетов бюджетной системы Российской Федерации,http://www.gks.ru,0.817
Восточное,доходы,2008,Безвозмездные поступления,http://www.gks.ru,29.492
Восточное,доходы,2008,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,7.961
Восточное,доходы,2008,Доходы: итого,http://www.gks.ru,16.876
Восточное,доходы,2008,Налоговые доходы,http://www.gks.ru,2.135
Восточное,доходы,2008,Неналоговые доходы,http://www.gks.ru,10.091
Восточное,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,6.785
Восточное,доходы,2009,Безвозмездные поступления,http://www.gks.ru,33.154
Восточное,доходы,2009,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,8.339
Восточное,доходы,2009,Доходы: итого,http://www.gks.ru,19.019
Восточное,доходы,2009,Налоговые доходы,http://www.gks.ru,2.442
Восточное,доходы,2009,Неналоговые доходы,http://www.gks.ru,10.781
Восточное,доходы,2009,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,8.238
Восточное,доходы,2010,Безвозмездные поступления,http://www.gks.ru,37.23
Восточное,доходы,2010,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,8.628
Восточное,доходы,2010,Доходы: итого,http://www.gks.ru,20.636
Восточное,доходы,2010,Налоговые доходы,http://www.gks.ru,2.021
Восточное,доходы,2010,Неналоговые доходы,http://www.gks.ru,10.649
Восточное,доходы,2010,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,9.987
Восточное,доходы,2011,Безвозмездные поступления,http://www.gks.ru,22.074
Восточное,доходы,2011,Доходы: итого,http://www.gks.ru,24.225
Восточное,доходы,2011,Налоговые доходы,http://www.gks.ru,13.188
Восточное,доходы,2011,Неналоговые доходы,http://www.gks.ru,13.188
Восточное,доходы,2011,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,11.037
Восточное,доходы,2012,Безвозмездные поступления,http://www.gks.ru,21.446
Восточное,доходы,2012,Доходы: итого,http://www.gks.ru,24.378
Восточное,доходы,2012,Налоговые доходы,http://www.gks.ru,13.655
Восточное,доходы,2012,Неналоговые доходы,http://www.gks.ru,13.655
Восточное,доходы,2012,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,10.723
Восточное,доходы,2013,Безвозмездные поступления,http://www.gks.ru,21.538
Восточное,доходы,2013,Доходы: итого,http://www.gks.ru,22.452
Восточное,доходы,2013,Налоговые доходы,http://www.gks.ru,11.683
Восточное,доходы,2013,Неналоговые доходы,http://www.gks.ru,12.803
Восточное,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,9.649
Восточное,доходы,2013,Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),http://www.gks.ru,1.12
Восточное,доходы,2014,Безвозмездные поступления,http://www.gks.ru,12.53
Восточное,доходы,2014,Доходы: итого,http://www.gks.ru,18.874
Восточное,доходы,2014,Иные  межбюджетные трансферты,http://www.gks.ru,1.57
Восточное,доходы,2014,Налоговые доходы,http://www.gks.ru,12.609
Восточное,доходы,2014,Неналоговые доходы,http://www.gks.ru,14.179
Восточное,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,4.695
Восточное,доходы,2015,Безвозмездные поступления,http://www.gks.ru,3.84
Восточное,доходы,2015,Доходы: итого,http://www.gks.ru,12.188
Восточное,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,1.92
Восточное,доходы,2015,Налоговые доходы,http://www.gks.ru,10.268
Восточное,доходы,2015,Неналоговые доходы,http://www.gks.ru,12.188
Восточное,доходы,2016,Безвозмездные поступления,http://www.gks.ru,3.84
Восточное,доходы,2016,Доходы: итого,http://www.gks.ru,18.175
Восточное,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,1.92
Восточное,доходы,2016,Налоговые доходы,http://www.gks.ru,16.255
Восточное,доходы,2016,Неналоговые доходы,http://www.gks.ru,18.175
Восточное,доходы,2017,Безвозмездные поступления,http://www.gks.ru,3.958
Восточное,доходы,2017,Доходы: итого,http://www.gks.ru,14.375
Восточное,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,1.979
Восточное,доходы,2017,Налоговые доходы,http://www.gks.ru,12.396
Восточное,доходы,2017,Неналоговые доходы,http://www.gks.ru,14.375
Восточное Дегунино,доходы,2006,Безвозмездные поступления,http://www.gks.ru,13.29
Восточное Дегунино,доходы,2006,Дотации от других бюджетов бюджетной системы Россйской Федерации,http://www.gks.ru,5.882
Восточное Дегунино,доходы,2006,Доходы: итого,http://www.gks.ru,15.006
Восточное Дегунино,доходы,2006,Налоговые доходы,http://www.gks.ru,8.358
Восточное Дегунино,доходы,2006,Субвенции от других бюджетов бюджетной системы Российской Федерации,http://www.gks.ru,0.763
Восточное Дегунино,доходы,2008,Безвозмездные поступления,http://www.gks.ru,42.256
Восточное Дегунино,доходы,2008,Доходы: итого,http://www.gks.ru,36.79
Восточное Дегунино,доходы,2008,Налоговые доходы,http://www.gks.ru,15.64
Восточное Дегунино,доходы,2008,Неналоговые доходы,http://www.gks.ru,15.662
Восточное Дегунино,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,21.128
Восточное Дегунино,доходы,2009,Безвозмездные поступления,http://www.gks.ru,56.324
Восточное Дегунино,доходы,2009,Доходы: итого,http://www.gks.ru,39.481
Восточное Дегунино,доходы,2009,Налоговые доходы,http://www.gks.ru,11.301
Восточное Дегунино,доходы,2009,Неналоговые доходы,http://www.gks.ru,11.319
Восточное Дегунино,доходы,2009,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,28.162
Восточное Дегунино,доходы,2010,Неналоговые доходы,http://www.gks.ru,13.475
Восточное Дегунино,доходы,2011,Безвозмездные поступления,http://www.gks.ru,64.126
Восточное Дегунино,доходы,2011,Доходы: итого,http://www.gks.ru,46.854
Восточное Дегунино,доходы,2011,Доходы от  приносящей доход деятельности,http://www.gks.ru,0.628
Восточное Дегунино,доходы,2011,Налоговые доходы,http://www.gks.ru,14.145
Восточное Дегунино,доходы,2011,Неналоговые доходы,http://www.gks.ru,14.791
Восточное Дегунино,доходы,2011,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,32.063
Восточное Дегунино,доходы,2012,Безвозмездные поступления,http://www.gks.ru,70.002
Восточное Дегунино,доходы,2012,Доходы: итого,http://www.gks.ru,51.218
Восточное Дегунино,доходы,2012,Налоговые доходы,http://www.gks.ru,16.167
Восточное Дегунино,доходы,2012,Неналоговые доходы,http://www.gks.ru,16.217
Восточное Дегунино,доходы,2012,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.001
Восточное Дегунино,доходы,2013,Безвозмездные поступления,http://www.gks.ru,77.68
Восточное Дегунино,доходы,2013,Доходы: итого,http://www.gks.ru,54.816
Восточное Дегунино,доходы,2013,Налоговые доходы,http://www.gks.ru,15.958
Восточное Дегунино,доходы,2013,Неналоговые доходы,http://www.gks.ru,15.976
Восточное Дегунино,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,38.84
Восточное Дегунино,доходы,2014,Безвозмездные поступления,http://www.gks.ru,29.31
Восточное Дегунино,доходы,2014,Доходы: итого,http://www.gks.ru,30.166
Восточное Дегунино,доходы,2014,Иные  межбюджетные трансферты,http://www.gks.ru,2.64
Восточное Дегунино,доходы,2014,Налоговые доходы,http://www.gks.ru,15.511
Восточное Дегунино,доходы,2014,Неналоговые доходы,http://www.gks.ru,18.151
Восточное Дегунино,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,12.015
Восточное Дегунино,доходы,2015,Безвозмездные поступления,http://www.gks.ru,5.28
Восточное Дегунино,доходы,2015,Доходы: итого,http://www.gks.ru,17.42
Восточное Дегунино,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,2.64
Восточное Дегунино,доходы,2015,Налоговые доходы,http://www.gks.ru,14.779
Восточное Дегунино,доходы,2015,Неналоговые доходы,http://www.gks.ru,17.42
Восточное Дегунино,доходы,2016,Безвозмездные поступления,http://www.gks.ru,5.28
Восточное Дегунино,доходы,2016,Доходы: итого,http://www.gks.ru,19.669
Восточное Дегунино,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,2.64
Восточное Дегунино,доходы,2016,Налоговые доходы,http://www.gks.ru,17.029
Восточное Дегунино,доходы,2016,Неналоговые доходы,http://www.gks.ru,19.669
Восточное Дегунино,доходы,2017,Безвозмездные поступления,http://www.gks.ru,5.04
Восточное Дегунино,доходы,2017,Доходы: итого,http://www.gks.ru,22.511
Восточное Дегунино,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,2.52
Восточное Дегунино,доходы,2017,Налоговые доходы,http://www.gks.ru,19.991
Восточное Дегунино,доходы,2017,Неналоговые доходы,http://www.gks.ru,22.511
Восточное Измайлово,доходы,2006,Безвозмездные поступления,http://www.gks.ru,5.03
Восточное Измайлово,доходы,2006,Дотации от других бюджетов бюджетной системы Россйской Федерации,http://www.gks.ru,1.568
Восточное Измайлово,доходы,2006,Доходы: итого,http://www.gks.ru,12.583
Восточное Измайлово,доходы,2006,Налоговые доходы,http://www.gks.ru,10.068
Восточное Измайлово,доходы,2006,Неналоговые доходы,http://www.gks.ru,10.068
Восточное Измайлово,доходы,2008,Безвозмездные поступления,http://www.gks.ru,38.252
Восточное Измайлово,доходы,2008,Доходы: итого,http://www.gks.ru,34.897
Восточное Измайлово,доходы,2008,Доходы от  приносящей доход деятельности,http://www.gks.ru,1.456
Восточное Измайлово,доходы,2008,Налоговые доходы,http://www.gks.ru,14.315
Восточное Измайлово,доходы,2008,Неналоговые доходы,http://www.gks.ru,15.771
Восточное Измайлово,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,19.126
Восточное Измайлово,доходы,2009,Безвозмездные поступления,http://www.gks.ru,54.558
Восточное Измайлово,доходы,2009,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,3.684
Восточное Измайлово,доходы,2009,Доходы: итого,http://www.gks.ru,36.043
Восточное Измайлово,доходы,2009,Налоговые доходы,http://www.gks.ru,8.932
Восточное Измайлово,доходы,2009,Неналоговые доходы,http://www.gks.ru,12.448
Восточное Измайлово,доходы,2009,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,23.595
Восточное Измайлово,доходы,2010,Безвозмездные поступления,http://www.gks.ru,55.474
Восточное Измайлово,доходы,2010,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,0.565
Восточное Измайлово,доходы,2010,Доходы: итого,http://www.gks.ru,40.895
Восточное Измайлово,доходы,2010,Налоговые доходы,http://www.gks.ru,13.154
Восточное Измайлово,доходы,2010,Неналоговые доходы,http://www.gks.ru,13.723
Восточное Измайлово,доходы,2010,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,27.172
Восточное Измайлово,доходы,2011,Безвозмездные поступления,http://www.gks.ru,55.786
Восточное Измайлово,доходы,2011,Доходы: итого,http://www.gks.ru,41.585
Восточное Измайлово,доходы,2011,Налоговые доходы,http://www.gks.ru,13.658
Восточное Измайлово,доходы,2011,Неналоговые доходы,http://www.gks.ru,13.692
Восточное Измайлово,доходы,2011,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,27.893
Восточное Измайлово,доходы,2012,Безвозмездные поступления,http://www.gks.ru,60.61
Восточное Измайлово,доходы,2012,Доходы: итого,http://www.gks.ru,50.302
Восточное Измайлово,доходы,2012,Налоговые доходы,http://www.gks.ru,19.992
Восточное Измайлово,доходы,2012,Неналоговые доходы,http://www.gks.ru,19.997
Восточное Измайлово,доходы,2012,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,30.305
Восточное Измайлово,доходы,2013,Безвозмездные поступления,http://www.gks.ru,67.29
Восточное Измайлово,доходы,2013,Доходы: итого,http://www.gks.ru,47.998
Восточное Измайлово,доходы,2013,Налоговые доходы,http://www.gks.ru,14.353
Восточное Измайлово,доходы,2013,Неналоговые доходы,http://www.gks.ru,15.874
Восточное Измайлово,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,32.124
Восточное Измайлово,доходы,2013,Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),http://www.gks.ru,1.521
Восточное Измайлово,доходы,2014,Безвозмездные поступления,http://www.gks.ru,16.918
Восточное Измайлово,доходы,2014,Доходы: итого,http://www.gks.ru,25.315
Восточное Измайлово,доходы,2014,Иные  межбюджетные трансферты,http://www.gks.ru,2.64
Восточное Измайлово,доходы,2014,Налоговые доходы,http://www.gks.ru,16.856
Восточное Измайлово,доходы,2014,Неналоговые доходы,http://www.gks.ru,19.496
Восточное Измайлово,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,5.819
Восточное Измайлово,доходы,2015,Безвозмездные поступления,http://www.gks.ru,5.28
Восточное Измайлово,доходы,2015,Доходы: итого,http://www.gks.ru,17.141
Восточное Измайлово,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,2.64
Восточное Измайлово,доходы,2015,Налоговые доходы,http://www.gks.ru,14.501
Восточное Измайлово,доходы,2015,Неналоговые доходы,http://www.gks.ru,17.141
Восточное Измайлово,доходы,2016,Безвозмездные поступления,http://www.gks.ru,5.28
Восточное Измайлово,доходы,2016,Доходы: итого,http://www.gks.ru,17.151
Восточное Измайлово,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,0.264
Восточное Измайлово,доходы,2016,Налоговые доходы,http://www.gks.ru,14.511
Восточное Измайлово,доходы,2016,Неналоговые доходы,http://www.gks.ru,17.151
Восточное Измайлово,доходы,2017,Безвозмездные поступления,http://www.gks.ru,5.04
Восточное Измайлово,доходы,2017,Доходы: итого,http://www.gks.ru,22.226
Восточное Измайлово,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,2.52
Восточное Измайлово,доходы,2017,Налоговые доходы,http://www.gks.ru,19.706
Восточное Измайлово,доходы,2017,Неналоговые доходы,http://www.gks.ru,22.226
Выхино-Жулебино,доходы,2006,Безвозмездные поступления,http://www.gks.ru,11.658
Выхино-Жулебино,доходы,2006,Дотации от других бюджетов бюджетной системы Россйской Федерации,http://www.gks.ru,4.948
Выхино-Жулебино,доходы,2006,Доходы: итого,http://www.gks.ru,17.776
Выхино-Жулебино,доходы,2006,Налоговые доходы,http://www.gks.ru,11.938
Выхино-Жулебино,доходы,2006,Субвенции от других бюджетов бюджетной системы Российской Федерации,http://www.gks.ru,0.881
Выхино-Жулебино,доходы,2008,Безвозмездные поступления,http://www.gks.ru,888.642
Выхино-Жулебино,доходы,2008,Доходы: итого,http://www.gks.ru,749.856
Выхино-Жулебино,доходы,2008,Налоговые доходы,http://www.gks.ru,305.535
Выхино-Жулебино,доходы,2008,Неналоговые доходы,http://www.gks.ru,305.535
Выхино-Жулебино,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,444.321
Выхино-Жулебино,доходы,2009,Безвозмездные поступления,http://www.gks.ru,122.896
Выхино-Жулебино,доходы,2009,Доходы: итого,http://www.gks.ru,85.419
Выхино-Жулебино,доходы,2009,Налоговые доходы,http://www.gks.ru,23.97
Выхино-Жулебино,доходы,2009,Неналоговые доходы,http://www.gks.ru,23.971
Выхино-Жулебино,доходы,2009,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,61.448
Выхино-Жулебино,доходы,2010,Безвозмездные поступления,http://www.gks.ru,144.588
Выхино-Жулебино,доходы,2010,Доходы: итого,http://www.gks.ru,94.419
Выхино-Жулебино,доходы,2010,Налоговые доходы,http://www.gks.ru,22.125
Выхино-Жулебино,доходы,2010,Неналоговые доходы,http://www.gks.ru,22.125
Выхино-Жулебино,доходы,2010,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,72.294
Выхино-Жулебино,доходы,2011,Безвозмездные поступления,http://www.gks.ru,163.298
Выхино-Жулебино,доходы,2011,Доходы: итого,http://www.gks.ru,96.551
Выхино-Жулебино,доходы,2011,Налоговые доходы,http://www.gks.ru,14.902
Выхино-Жулебино,доходы,2011,Неналоговые доходы,http://www.gks.ru,14.902
Выхино-Жулебино,доходы,2011,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,81.649
Выхино-Жулебино,доходы,2012,Безвозмездные поступления,http://www.gks.ru,175.938
Выхино-Жулебино,доходы,2012,Доходы: итого,http://www.gks.ru,118.728
Выхино-Жулебино,доходы,2012,Доходы от  приносящей доход деятельности,http://www.gks.ru,1.992
Выхино-Жулебино,доходы,2012,Налоговые доходы,http://www.gks.ru,28.663
Выхино-Жулебино,доходы,2012,Неналоговые доходы,http://www.gks.ru,30.759
Выхино-Жулебино,доходы,2012,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,87.969
Выхино-Жулебино,доходы,2013,Безвозмездные поступления,http://www.gks.ru,169.522
Выхино-Жулебино,доходы,2013,Доходы: итого,http://www.gks.ru,106.642
Выхино-Жулебино,доходы,2013,Налоговые доходы,http://www.gks.ru,21.799
Выхино-Жулебино,доходы,2013,Неналоговые доходы,http://www.gks.ru,22.961
Выхино-Жулебино,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,83.681
Выхино-Жулебино,доходы,2013,Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),http://www.gks.ru,1.08
Выхино-Жулебино,доходы,2014,Безвозмездные поступления,http://www.gks.ru,43.754
Выхино-Жулебино,доходы,2014,Доходы: итого,http://www.gks.ru,45.721
Выхино-Жулебино,доходы,2014,Налоговые доходы,http://www.gks.ru,23.844
Выхино-Жулебино,доходы,2014,Неналоговые доходы,http://www.gks.ru,23.844
Выхино-Жулебино,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,21.877
Выхино-Жулебино,доходы,2015,Безвозмездные поступления,http://www.gks.ru,8.64
Выхино-Жулебино,доходы,2015,Доходы: итого,http://www.gks.ru,22.814
Выхино-Жулебино,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,4.32
Выхино-Жулебино,доходы,2015,Налоговые доходы,http://www.gks.ru,17.503
Выхино-Жулебино,доходы,2015,Неналоговые доходы,http://www.gks.ru,22.814
Выхино-Жулебино,доходы,2016,Безвозмездные поступления,http://www.gks.ru,7.556
Выхино-Жулебино,доходы,2016,Доходы: итого,http://www.gks.ru,24.822
Выхино-Жулебино,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,3.778
Выхино-Жулебино,доходы,2016,Налоговые доходы,http://www.gks.ru,21.044
Выхино-Жулебино,доходы,2016,Неналоговые доходы,http://www.gks.ru,24.822
Выхино-Жулебино,доходы,2017,Безвозмездные поступления,http://www.gks.ru,8.52
Выхино-Жулебино,доходы,2017,Доходы: итого,http://www.gks.ru,35.154
Выхино-Жулебино,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,4.26
Выхино-Жулебино,доходы,2017,Налоговые доходы,http://www.gks.ru,30.894
Выхино-Жулебино,доходы,2017,Неналоговые доходы,http://www.gks.ru,35.154
Гагаринский,доходы,2006,Безвозмездные поступления,http://www.gks.ru,1.428
Гагаринский,доходы,2006,Доходы: итого,http://www.gks.ru,2.683
Гагаринский,доходы,2006,Налоговые доходы,http://www.gks.ru,1.924
Гагаринский,доходы,2006,Субвенции от других бюджетов бюджетной системы Российской Федерации,http://www.gks.ru,0.714
Гагаринский,доходы,2008,Безвозмездные поступления,http://www.gks.ru,45.352
Гагаринский,доходы,2008,Доходы: итого,http://www.gks.ru,44.287
Гагаринский,доходы,2008,Налоговые доходы,http://www.gks.ru,21.61
Гагаринский,доходы,2008,Неналоговые доходы,http://www.gks.ru,21.611
Гагаринский,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,22.676
Гагаринский,доходы,2009,Безвозмездные поступления,http://www.gks.ru,52.454
Гагаринский,доходы,2009,Доходы: итого,http://www.gks.ru,38.189
Гагаринский,доходы,2009,Налоговые доходы,http://www.gks.ru,11.962
Гагаринский,доходы,2009,Неналоговые доходы,http://www.gks.ru,11.962
Гагаринский,доходы,2009,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,26.227
Гагаринский,доходы,2010,Безвозмездные поступления,http://www.gks.ru,61.294
Гагаринский,доходы,2010,Дотации бюджетам бюджетной системы Российской Федерации,http://www.gks.ru,0.469
Гагаринский,доходы,2010,Доходы: итого,http://www.gks.ru,44.049
Гагаринский,доходы,2010,Налоговые доходы,http://www.gks.ru,13.304
Гагаринский,доходы,2010,Неналоговые доходы,http://www.gks.ru,13.871
Гагаринский,доходы,2010,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,30.178
Гагаринский,доходы,2011,Безвозмездные поступления,http://www.gks.ru,65.714
Гагаринский,доходы,2011,Доходы: итого,http://www.gks.ru,44.91
Гагаринский,доходы,2011,Налоговые доходы,http://www.gks.ru,12.047
Гагаринский,доходы,2011,Неналоговые доходы,http://www.gks.ru,12.053
Гагаринский,доходы,2011,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,32.857
Гагаринский,доходы,2012,Безвозмездные поступления,http://www.gks.ru,70.912
Гагаринский,доходы,2012,Доходы: итого,http://www.gks.ru,53.972
Гагаринский,доходы,2012,Налоговые доходы,http://www.gks.ru,18.516
Гагаринский,доходы,2012,Неналоговые доходы,http://www.gks.ru,18.516
Гагаринский,доходы,2012,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.456
Гагаринский,доходы,2013,Безвозмездные поступления,http://www.gks.ru,71.412
Гагаринский,доходы,2013,Доходы: итого,http://www.gks.ru,49.52
Гагаринский,доходы,2013,Налоговые доходы,http://www.gks.ru,13.814
Гагаринский,доходы,2013,Неналоговые доходы,http://www.gks.ru,13.814
Гагаринский,доходы,2013,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.706
Гагаринский,доходы,2014,Безвозмездные поступления,http://www.gks.ru,80.604
Гагаринский,доходы,2014,Доходы: итого,http://www.gks.ru,55.321
Гагаринский,доходы,2014,Иные  межбюджетные трансферты,http://www.gks.ru,2.022
Гагаринский,доходы,2014,"Межбюджетные трансферты, передаваемые бюджетам для компенсации дополнительных расходов, возникших в результате решений, принятых органами власти другого уровня",http://www.gks.ru,2.022
Гагаринский,доходы,2014,Налоговые доходы,http://www.gks.ru,15.019
Гагаринский,доходы,2014,Неналоговые доходы,http://www.gks.ru,17.041
Гагаринский,доходы,2014,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,38.28
Гагаринский,доходы,2015,Безвозмездные поступления,http://www.gks.ru,76.076
Гагаринский,доходы,2015,Доходы: итого,http://www.gks.ru,56.12
Гагаринский,доходы,2015,Иные  межбюджетные трансферты,http://www.gks.ru,2.4
Гагаринский,доходы,2015,"Межбюджетные трансферты, передаваемые бюджетам для компенсации дополнительных расходов, возникших в результате решений, принятых органами власти другого уровня",http://www.gks.ru,2.4
Гагаринский,доходы,2015,Налоговые доходы,http://www.gks.ru,14.492
Гагаринский,доходы,2015,Неналоговые доходы,http://www.gks.ru,20.502
Гагаринский,доходы,2015,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.618
Гагаринский,доходы,2016,Безвозмездные поступления,http://www.gks.ru,75
Гагаринский,доходы,2016,Доходы: итого,http://www.gks.ru,57.466
Гагаринский,доходы,2016,Иные  межбюджетные трансферты,http://www.gks.ru,2.4
Гагаринский,доходы,2016,Налоговые доходы,http://www.gks.ru,19.953
Гагаринский,доходы,2016,Неналоговые доходы,http://www.gks.ru,22.366
Гагаринский,доходы,2016,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.1
Гагаринский,доходы,2017,Безвозмездные поступления,http://www.gks.ru,75.176
Гагаринский,доходы,2017,Доходы: итого,http://www.gks.ru,56.641
Гагаринский,доходы,2017,Иные  межбюджетные трансферты,http://www.gks.ru,2.22
Гагаринский,доходы,2017,Налоговые доходы,http://www.gks.ru,19.053
Гагаринский,доходы,2017,Неналоговые доходы,http://www.gks.ru,21.273
Гагаринский,доходы,2017,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,35.368
Головинский,доходы,2006,Безвозмездные поступления,http://www.gks.ru,7.824
Головинский,доходы,2006,Дотации от других бюджетов бюджетной системы Россйской Федерации,http://www.gks.ru,3.043
Головинский,доходы,2006,Доходы: итого,http://www.gks.ru,11.768
Головинский,доходы,2006,Налоговые доходы,http://www.gks.ru,7.854
Головинский,доходы,2006,Субвенции от других бюджетов бюджетной системы Российской Федерации,http://www.gks.ru,0.869
Головинский,доходы,2008,Безвозмездные поступления,http://www.gks.ru,452.226
Головинский,доходы,2008,Доходы: итого,http://www.gks.ru,361.179
Головинский,доходы,2008,Налоговые доходы,http://www.gks.ru,134.867
Головинский,доходы,2008,Неналоговые доходы,http://www.gks.ru,135.066
Головинский,доходы,2008,Субвенции бюджетам   бюджетной системы Российской Федерации,http://www.gks.ru,226.113
