Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Всего,9150,36467,41562,39577,41395,48353,48356,27544,16500,17841,22724,Восточное Измайлово
Бюджетные инвестиции на увеличение стоимости основных средств,NA,1091,1084,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Общегосударственные вопросы,6402,20548,21370,21853,NA,NA,27965,20738,14021,14537,19026,Восточное Измайлово
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
расходы на содержание работников органов местного самоуправления,NA,12034,16250,16616,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Национальная безопасность и правоохранительная деятельность,30,62,NA,19,NA,NA,18,33,33,33,33,Восточное Измайлово
Национальная экономика,19,NA,197,50,NA,NA,105,NA,NA,NA,NA,Восточное Измайлово
Образование,NA,4581,5006,7634,NA,NA,7102,NA,NA,NA,NA,Восточное Измайлово
"Культура, кинематография и средства массовой информации",1117,2757,2195,1235,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Культура,NA,1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
"Культура, кинематография",NA,NA,NA,NA,NA,NA,342,2885,1628,1619,1626,Восточное Измайлово
"Здравоохранение, физическая культура и спорт",NA,8519,8793,8786,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Физическая культура и спорт,NA,8519,NA,NA,NA,NA,11887,2775,NA,NA,NA,Восточное Измайлово
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Расходы на оплату труда и начисления на оплату труда  (физическая культура и спорт),NA,1438,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Социальная политика,888,NA,NA,NA,NA,NA,NA,NA,NA,875,1300,Восточное Измайлово
Межбюджетные трансферты,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Из межбюджетных трансфертов субсидии бюджетам субъектов Российской Федерации и муниципальных образований (межбюджетные субсидии),NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Дотации от других бюджетов бюджетной системы Россйской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Субвенции от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Всего,7344,16290,19147,20648,20824,22067,28454,18791,10849,12643,13608,Восточное
Общегосударственные вопросы,5674,12270,14241,15631,NA,NA,20785,16317,10688,11573,12652,Восточное
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
расходы на содержание работников органов местного самоуправления,NA,NA,11234,11594,NA,NA,NA,NA,NA,NA,NA,Восточное
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",4577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Национальная безопасность и правоохранительная деятельность,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
Национальная экономика,NA,36,101,36,NA,NA,541,NA,NA,NA,NA,Восточное
Образование,NA,2240,2201,2837,NA,NA,4357,NA,NA,NA,NA,Восточное
"Культура, кинематография и средства массовой информации",712,726,710,511,NA,NA,NA,NA,NA,NA,NA,Восточное
Культура,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,Восточное
"Культура, кинематография",NA,NA,NA,NA,NA,NA,200,1199,NA,NA,NA,Восточное
"Здравоохранение, физическая культура и спорт",NA,1015,1894,1633,NA,NA,NA,NA,NA,NA,NA,Восточное
Физическая культура и спорт,NA,NA,1894,NA,NA,NA,1920,643,NA,NA,NA,Восточное
Социальная политика,950,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,Восточное
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Государственная пошлина,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Доходы от использования имущества, находящегося в государственной и муниципальной собственности",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Доходы от перечисления части прибыли  государственных и муниципальных унитарных предприятий, остающейся после уплаты налогов и обязательных платежей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Дотации от других бюджетов бюджетной системы Россйской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Субвенции от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Прочие безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Доходы от  приносящей доход деятельности,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Всего,15356,"47635,4",61004,68911,69523,80432,45974,18303,24796,19738,29194,Гольяново
Бюджетные инвестиции на увеличение стоимости основных средств,NA,"1909,6",1423,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Общегосударственные вопросы,9422,"24508,2",56804,34467,NA,NA,27105,15318,17452,12270,22187,Гольяново
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
расходы на содержание работников органов местного самоуправления,NA,21053,14958,34467,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",9308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Национальная безопасность и правоохранительная деятельность,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Национальная экономика,NA,NA,18,108,NA,NA,724,NA,NA,NA,NA,Гольяново
Другие вопросы в области национальной экономики,NA,NA,NA,NA,NA,NA,724,NA,NA,NA,NA,Гольяново
Жилищно-коммунальное хозяйство,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Образование,NA,"11415,1",NA,13868,NA,NA,7382,NA,NA,NA,NA,Гольяново
Общее образование,NA,"11415,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Бюджетные инвестиции (общее образование) на увеличение стоимости основных средств,NA,"1043,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Расходы на оплату труда и начисления на оплату труда (общее образование),NA,"7328,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Культура, кинематография и средства массовой информации",4917,"3887,7",4082,1933,NA,NA,NA,NA,NA,NA,NA,Гольяново
Культура,NA,"3887,7",4082,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
"Культура, кинематография",NA,NA,NA,NA,NA,NA,973,1845,3626,3333,3209,Гольяново
"Здравоохранение, физическая культура и спорт",NA,"7724,8",NA,18493,NA,NA,NA,NA,NA,NA,NA,Гольяново
Физическая культура и спорт,NA,"7724,8",NA,NA,NA,NA,8195,NA,NA,NA,NA,Гольяново
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,"442,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Расходы на оплату труда и начисления на оплату труда  (физическая культура и спорт),NA,"3303,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,Гольяново
Социальная политика,914,"99,6",100,42,NA,NA,NA,NA,356,775,798,Гольяново
Межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,Гольяново
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
"Межбюджетные трансферты, передаваемые бюджетам для компенсации дополнительных расходов, возникших в результате решений, принятых органами власти другого уровня",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Дотации от других бюджетов бюджетной системы Россйской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Субвенции от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Доходы от  приносящей доход деятельности,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Всего,12693,58860,61461,66383,68797,76412,41976,20946,20744,23658,28163,Ивановское
Бюджетные инвестиции на увеличение стоимости основных средств,NA,NA,2429,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Общегосударственные вопросы,9361,30139,30650,30112,NA,NA,25556,17073,16326,18354,22348,Ивановское
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
расходы на содержание работников органов местного самоуправления,NA,6723,30650,21240,NA,NA,NA,NA,NA,NA,NA,Ивановское
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",8185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Национальная безопасность и правоохранительная деятельность,75,315,159,113,NA,NA,NA,NA,NA,NA,NA,Ивановское
Национальная экономика,7,NA,280,449,NA,NA,986,NA,NA,NA,NA,Ивановское
Другие вопросы в области национальной экономики,NA,NA,NA,NA,NA,NA,986,NA,NA,NA,NA,Ивановское
Охрана окружающей среды,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Образование,NA,12971,12728,17966,NA,NA,6202,NA,NA,NA,NA,Ивановское
"Культура, кинематография и средства массовой информации",1746,2241,2413,1377,NA,NA,NA,NA,NA,NA,NA,Ивановское
Культура,NA,NA,516,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
"Культура, кинематография",NA,NA,NA,NA,NA,NA,1640,3873,2831,3443,4081,Ивановское
"Здравоохранение, физическая культура и спорт",NA,13194,13945,15378,NA,NA,NA,NA,NA,NA,NA,Ивановское
Физическая культура и спорт,NA,13194,13945,NA,NA,NA,7592,NA,NA,NA,NA,Ивановское
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,1654,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Расходы на оплату труда и начисления на оплату труда  (физическая культура и спорт),NA,2118,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Социальная политика,1464,NA,NA,NA,NA,NA,NA,NA,NA,922,960,Ивановское
Межбюджетные трансферты,NA,NA,1283,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
Из межбюджетных трансфертов субсидии бюджетам субъектов Российской Федерации и муниципальных образований (межбюджетные субсидии),NA,NA,1283,NA,NA,NA,NA,NA,NA,NA,NA,Ивановское
