municipality,category,value,type
Академический,Налоговые доходы,8.3,income
Академический,Неналоговые доходы,0,income
Академический,Безвозмездные поступления,1.5,income
Академический,Доходы: итого,9.8,income
Академический,Общегосударственные вопросы,6.3,expenses
Академический,"Культура, кинематография",2,expenses
Академический,Социальная политика,0.6,expenses
Академический,Средства массовой информации,0.2,expenses
Академический,Расходы: итого,9.1,expenses
Алексеевский,Налоговые доходы,7.8,income
Алексеевский,Неналоговые доходы,0,income
Алексеевский,Безвозмездные поступления,1.3,income
Алексеевский,Доходы: итого,9.1,income
Алексеевский,Общегосударственные вопросы,5.9,expenses
Алексеевский,"Культура, кинематография",0.3,expenses
Алексеевский,Социальная политика,0.9,expenses
Алексеевский,Средства массовой информации,0.2,expenses
Алексеевский,Расходы: итого,7.2,expenses
Алтуфьевский,Налоговые доходы,7,income
Алтуфьевский,Неналоговые доходы,0,income
Алтуфьевский,Безвозмездные поступления,1.4,income
Алтуфьевский,Доходы: итого,8.4,income
Алтуфьевский,Общегосударственные вопросы,7.2,expenses
Алтуфьевский,"Культура, кинематография",0.9,expenses
Алтуфьевский,Социальная политика,0.4,expenses
Алтуфьевский,Средства массовой информации,0.1,expenses
Алтуфьевский,Расходы: итого,8.6,expenses
Арбат,Налоговые доходы,6.8,income
Арбат,Неналоговые доходы,0.1,income
Арбат,Безвозмездные поступления,0.6,income
Арбат,Доходы: итого,7.5,income
Арбат,Общегосударственные вопросы,7,expenses
Арбат,Национальная экономика,0,expenses
Арбат,"Культура, кинематография",0.5,expenses
Арбат,Социальная политика,0.9,expenses
Арбат,Средства массовой информации,0,expenses
Арбат,Расходы: итого,8.4,expenses
Аэропорт,Налоговые доходы,6.8,income
Аэропорт,Неналоговые доходы,0.05,income
Аэропорт,Безвозмездные поступления,1.4,income
Аэропорт,Доходы: итого,8.3,income
Аэропорт,Общегосударственные вопросы,6.9,expenses
Аэропорт,"Культура, кинематография",0.5,expenses
Аэропорт,Социальная политика,0.5,expenses
Аэропорт,Средства массовой информации,0.1,expenses
Аэропорт,Расходы: итого,8,expenses
Бабушкинский,Налоговые доходы,7.3,income
Бабушкинский,Неналоговые доходы,0,income
Бабушкинский,Безвозмездные поступления,1.2,income
Бабушкинский,Доходы: итого,8.5,income
Бабушкинский,Общегосударственные вопросы,7.4,expenses
Бабушкинский,"Культура, кинематография",0.2,expenses
Бабушкинский,Социальная политика,0.9,expenses
Бабушкинский,Средства массовой информации,0.1,expenses
Бабушкинский,Расходы: итого,8.6,expenses
Басманный,Налоговые доходы,7.1,income
Басманный,Неналоговые доходы,0,income
Басманный,Безвозмездные поступления,1.4,income
Басманный,Доходы: итого,8.5,income
Басманный,Общегосударственные вопросы,7.3,expenses
Басманный,"Культура, кинематография",0.6,expenses
Басманный,Социальная политика,0.3,expenses
Басманный,Средства массовой информации,0.8,expenses
Басманный,Расходы: итого,9,expenses
Беговой,Налоговые доходы,6.8,income
Беговой,Неналоговые доходы,0,income
Беговой,Безвозмездные поступления,1.1,income
Беговой,Доходы: итого,8,income
Беговой,Общегосударственные вопросы,6,expenses
Беговой,"Культура, кинематография",0.4,expenses
Беговой,Социальная политика,0.7,expenses
Беговой,Средства массовой информации,0.1,expenses
Беговой,Расходы: итого,7.2,expenses
Бескудниковский,Налоговые доходы,6.3,income
Бескудниковский,Неналоговые доходы,0,income
Бескудниковский,Безвозмездные поступления,1.1,income
Бескудниковский,Доходы: итого,7.4,income
Бескудниковский,Общегосударственные вопросы,8.2,expenses
Бескудниковский,"Культура, кинематография",0.6,expenses
Бескудниковский,Средства массовой информации,0,expenses
Бескудниковский,Расходы: итого,8.8,expenses
Бибирево,Налоговые доходы,10.7,income
Бибирево,Неналоговые доходы,0,income
Бибирево,Безвозмездные поступления,1.7,income
Бибирево,Доходы: итого,12.4,income
Бибирево,Общегосударственные вопросы,8.8,expenses
Бибирево,Жилищно-коммунальное хозяйство,0,expenses
Бибирево,Образование,0.2,expenses
Бибирево,"Культура, кинематография",0.8,expenses
Бибирево,Социальная политика,0.8,expenses
Бибирево,Средства массовой информации,0.1,expenses
Бибирево,Расходы: итого,10.8,expenses
Бирюлево Восточное,Налоговые доходы,9.5,income
Бирюлево Восточное,Неналоговые доходы,0,income
Бирюлево Восточное,Безвозмездные поступления,1.7,income
Бирюлево Восточное,Доходы: итого,11.1,income
Бирюлево Восточное,Общегосударственные вопросы,7.8,expenses
Бирюлево Восточное,Национальная безопасность и правоохранительная деятельность,0.3,expenses
Бирюлево Восточное,"Культура, кинематография",1.8,expenses
Бирюлево Восточное,Социальная политика,0.9,expenses
Бирюлево Восточное,Средства массовой информации,0.4,expenses
Бирюлево Восточное,Расходы: итого,11.2,expenses
Бирюлево Западное,Налоговые доходы,7.4,income
Бирюлево Западное,Неналоговые доходы,0,income
Бирюлево Западное,Безвозмездные поступления,1.2,income
Бирюлево Западное,Доходы: итого,8.6,income
Бирюлево Западное,Общегосударственные вопросы,6.2,expenses
Бирюлево Западное,"Культура, кинематография",0.9,expenses
Бирюлево Западное,Социальная политика,0.3,expenses
Бирюлево Западное,Средства массовой информации,0.4,expenses
Бирюлево Западное,Расходы: итого,7.8,expenses
Богородское,Налоговые доходы,8.1,income
Богородское,Неналоговые доходы,0,income
Богородское,Безвозмездные поступления,1.7,income
Богородское,Доходы: итого,9.8,income
Богородское,Общегосударственные вопросы,7.5,expenses
Богородское,Образование,0.4,expenses
Богородское,"Культура, кинематография",1.3,expenses
Богородское,Социальная политика,0.3,expenses
Богородское,Средства массовой информации,0.4,expenses
Богородское,Расходы: итого,9.8,expenses
Братеево,Налоговые доходы,11.9,income
Братеево,Неналоговые доходы,0,income
Братеево,Безвозмездные поступления,1.2,income
Братеево,Доходы: итого,13.2,income
Братеево,Общегосударственные вопросы,5.5,expenses
Братеево,"Культура, кинематография",1.3,expenses
Братеево,Социальная политика,0.3,expenses
Братеево,Средства массовой информации,0.4,expenses
Братеево,Расходы: итого,7.5,expenses
Бутырский,Налоговые доходы,7.5,income
Бутырский,Неналоговые доходы,0,income
Бутырский,Безвозмездные поступления,1.1,income
Бутырский,Доходы: итого,8.6,income
Бутырский,Общегосударственные вопросы,5.4,expenses
Бутырский,"Культура, кинематография",1.4,expenses
Бутырский,Социальная политика,0.5,expenses
Бутырский,Средства массовой информации,0.1,expenses
Бутырский,Расходы: итого,7.4,expenses
